,V1,V2,V3,V4,V5,V6,V7,V9,V10,V11,V12,V14,V16,V17,V18,V19,V20,V21,V24,V27,V28,V29,V30,Class
121,-0.42719085439784,0.745708409289759,1.76181102473866,-0.165130478701306,0.0582976883227524,-0.213413376412593,0.6473232499627,-0.291863985973533,0.0647995254906713,1.52719169534087,-0.131505745138994,0.48212118972861,0.0345413745923004,-0.306278167113975,-0.206029883743704,-0.118938854835008,0.0528275703823041,-0.201680707780848,0.161606289298908,0.102549224305812,-0.116571479965902,-0.7680196552639065,-0.282677927313459,0
248296,-0.613695895305449,3.69877241384725,-5.53494116176501,5.62048638535855,1.64926285038792,-2.33514498091385,-0.907188472777421,-3.74764612466131,-4.23098383571181,4.43631907416962,-4.50380121641622,-9.86137210765166,0.269281953090911,0.591319064375358,1.79599192045908,-1.08520791024384,0.354772932978025,0.319260753518317,-0.667909264857987,0.488409527815439,0.292344974289491,2.156939243042216,-0.6343463143579054,1
239,1.1714389026217,0.474973975583183,0.0117607181797781,1.2643025050102,0.116234124537714,-0.865985953123542,0.554392815083102,-0.471301562646368,0.0291038174075634,0.252013153301169,0.740675664854203,0.480297338513285,-0.592090170038143,0.0328385154292319,-1.01236278887154,-0.799293046891995,-0.119438649293678,0.0700510477708725,0.426278229393726,0.0084715738496376,0.0154921111821629,-0.7664410451748683,-0.23725806042649408,0
239501,-6.68283191622627,-2.71426804459821,-5.77453045690806,1.44979237466742,-0.66183640822251,-1.14864974026029,0.849686456067088,-1.3156463890999,-2.79633153858609,-0.448793725596362,-2.56260240774572,-1.18166939064494,-2.3025956900034,-4.446191868553,-1.71046314846621,0.982728632705372,-1.92852719254856,0.22052629481591,0.215682964100827,-0.054987627978561,0.0823370925160337,2.0858894946004813,0.3674272568213772,1
143336,-6.71340697159693,3.92110415204576,-9.74667821737542,5.14826254938013,-5.15156271985187,-2.09938865681113,-5.93776683170198,-4.6849517505833,-8.53775768653457,6.34897930341209,-8.68160893168352,-11.6080022570993,-5.36356643348466,-11.9390915052116,-3.58360287020043,0.897402406121681,0.135711322729059,0.954272201927517,-0.339449869297565,1.6499059092424,-0.394905372194808,0.8524841994556855,0.5652235302778639,1
90,0.921024018835922,-0.16244686110781,-0.0943313673869069,0.474083926327042,-0.0214859605972665,-0.397506306685279,0.482642978539503,-0.577836031422653,-0.0186071371400667,1.83757918303173,1.45067106438787,0.593718449923865,-0.0843672205235,-0.25970727981991,-0.894995460456715,-0.0103739416854655,0.214510447897743,-0.209381106373359,0.0326820091099104,-0.0735342308160852,0.0223491449446096,-0.7683606803409975,0.3072506152453638,0
215,1.21140602376378,0.0078497561978632,0.950798394868363,1.13764647804185,-0.495189278904212,0.301371117643675,-0.51835035910425,0.817591713147277,-0.22633947839369,-1.3927278450947,0.666903920591623,-0.58264566486042,0.282077685114479,-0.602787656509639,0.104931520635137,0.0988689071769595,-0.0499124714120192,-0.107247742883246,-0.421241480462009,0.0769299077872142,0.0318000277964341,-0.7667834651208782,-0.27916495691987786,0
150662,-5.83919161928092,7.1515323543223,-12.8167600806187,7.03111476501099,-9.6512721679897,-2.93842725771624,-11.5432071690832,-3.49427572506535,-13.3207888671784,8.46024444901677,-17.003289445516,-14.094451660329,-12.6616957230679,-18.9124938172188,-6.62697484523061,4.00892074227194,0.0556838813863639,2.46205591127559,0.472669814042592,0.104886020210564,0.254417096767513,1.0154326018563893,0.8123283915308291,1
226,-0.399879706933424,1.05196578765937,1.39080202251374,0.093131864909547,-0.0076993568462707,-0.717558971168534,0.588094752233896,-0.310721776779909,-0.533284650505651,0.177463377055011,-0.272661629499886,-0.237325713037152,0.0287133965963381,0.446918010392072,-0.60590961935877,-0.566862926753479,0.0182526997111467,-0.224926322854705,0.329354095903188,0.258834227158744,0.0963366739991523,-0.7666314038109481,-0.3173117908162287,0
2,-1.35835406159823,-1.34016307473609,1.77320934263119,0.379779593034328,-0.503198133318193,1.80049938079263,0.791460956450422,-1.51465432260583,0.207642865216696,0.624501459424895,0.066083685268831,-0.165945922763554,-2.89008319444231,1.10996937869599,-0.121359313195888,-2.26185709530414,0.524979725224404,0.247998153469754,-0.689280956490685,-0.0553527940384261,-0.0597518405929204,-0.7694616190104371,1.2659116657098268,0
156990,-1.00061051985933,3.34685000184439,-5.53449117133595,6.83580203854396,-0.299803293657807,0.0959512989990878,-2.44041927394713,-2.7664382829404,-4.45800770078481,4.69653339192897,-8.76211333956078,-7.32027202211023,-3.37112471078725,-4.25115786762875,-0.43005729986925,1.80401333906519,1.18981379228675,0.439756764345897,-0.657600627722995,0.824685450418745,0.326952273050223,1.3091672839503403,0.23642156896365304,1
102,0.298503170230964,2.14272151611193,-1.54214297177705,1.56133190619696,0.938108024652659,-2.14567269892859,1.40556856926536,0.328636441067941,0.127497138229711,1.61279907284482,-0.0963770304463607,-4.31837785899177,0.404686812382194,2.72916803684328,1.11586360275427,-0.70381403125983,0.676953714414688,-0.290986926566703,0.586205254664035,0.251145000441888,-0.242278599734987,-0.7681718779009402,-0.31760762406947546,0
160,-0.378601661083143,0.274578968122152,-0.129487731899236,-2.68279898796446,-0.731374622729684,-0.226354213178799,-0.0069493417805235,-0.233231930179026,-0.588714056156709,-1.30768209965935,0.0645983138103832,0.464692016093436,-1.54979915478681,-0.319687585986572,1.0867193428076,-0.444441081910201,-1.13379893071232,1.42614567629838,-0.714696527705741,0.356780521706937,0.148444038792906,-0.7675806289857724,0.4456521073729261,0
